Active,Key,Level,SubKey,Shopkeeper,Occupation,BaseMultiplier,BaseValue,NumIngredients,RecipeValueMultiplier,Value,CraftingRecipe/Good/...,CraftingRecipe/Value/Total,UsedInOtherRecipes,AllowJunk,MinorUpgradeDesc/SkillPoints,MinorUpgradeDesc/Entry/...,MajorUpgradeDesc/SkillPoints,MajorUpgradeDesc/Entry/...
TRUE,good_junk,,,Tree,harvestable that produces Wood,1,10,0,0,10,,0,0,FALSE,,,,
TRUE,good_food,,,Berry Bush,harvestable that produces Food,1,10,0,0,10,,0,0,FALSE,,,,
TRUE,good_wood,,,Tree,harvestable that produces Wood,1.5,15,0,0,15,,0,0,FALSE,,,,
TRUE,good_water,,,Pond,harvestable that yields Water,0.5,5,0,0,5,,0,0,FALSE,,,,
TRUE,good_stone,,,Rock,harvestable mined for Stone,1.8,18,0,0,18,,0,0,FALSE,,,,
TRUE,good_barrel,0,L0,Mr. Barrelo,maker of Barrels,,0,2,1.2,12,good_water + good_water + ,10,0,FALSE,1,1x good_barrel,,
TRUE,good_barrel,5,L5,Mr. Barrelo,maker of Barrels,,0,2,1.3,13,good_water + good_water + ,10,0,FALSE,1,2x good_barrel,1,2x good_barrel + 1x good_oak + 1x wo_cat_and_catcher + 
TRUE,good_barrel,15,L15,Mr. Barrelo,maker of Barrels,,0,2,1.4,14,good_water + good_water + ,10,0,FALSE,1,3x good_barrel,1,3x good_barrel + 2x good_oak + 1x wo_cat_and_catcher + 
TRUE,good_barrel,30,L30,Master Barrelo,master of Barrels,,0,2,1.5,15,good_water + good_water + ,10,0,FALSE,1,3x good_barrel,1,4x good_barrel + 3x good_oak + 1x wo_cat_and_catcher + 
TRUE,good_oak,0,L0,Ms. Oako,crafter of Oak,,0,1,1.2,18,good_wood + ,15,0,FALSE,1,1x good_oak,,
TRUE,good_oak,5,L5,Ms. Oako,crafter of Oak,,0,2,1.3,39,good_wood + good_wood + ,30,0,FALSE,1,2x good_oak,1,2x good_oak + 1x good_bread + 1x wo_tower_stout + 
TRUE,good_oak,15,L15,Ms. Oako,crafter of Oak,,0,3,1.4,63,good_wood + good_wood + good_wood + ,45,0,FALSE,1,3x good_oak,1,3x good_oak + 2x good_bread + 1x wo_tower_stout + 
TRUE,good_oak,30,L30,Mistress Oako,Master of Oak,,0,4,1.5,90,good_wood + good_wood + good_wood + good_wood + ,60,0,FALSE,1,3x good_oak,1,4x good_oak + 3x good_bread + 1x wo_tower_stout + 
TRUE,good_bread,0,L0,Mrs. Breadish,baker of Bread,,0,1,1.2,12,good_food + ,10,0,FALSE,1,1x good_bread,,
TRUE,good_bread,5,L5,Mrs. Breadish,baker of Bread,,0,2,1.3,26,good_food + good_food + ,20,0,FALSE,1,2x good_bread,1,2x good_bread + 1x good_bricks + 1x wo_transfer_station_90 + 
TRUE,good_bread,15,L15,Mrs. Breadish,baker of Bread,,0,3,1.4,42,good_food + good_food + good_food + ,30,0,FALSE,1,3x good_bread,1,3x good_bread + 2x good_bricks + 1x wo_transfer_station_90 + 
TRUE,good_bread,30,L30,Mistress Breadish,priestess of Bread,,0,4,1.5,60,good_food + good_food + good_food + good_food + ,40,0,FALSE,1,3x good_bread,1,4x good_bread + 3x good_bricks + 1x wo_transfer_station_90 + 
TRUE,good_bricks,0,L0,Sir Brickolot,purveyor of Bricks,,0,1,1.2,22,good_stone + ,18,0,FALSE,1,1x good_bricks,,
